property1,property2,property3,property4,property6,property7,index,url
"Agonges, Église Notre-Dame",Église Notre-Dame,,,46.60634458,3.157133341,1,http://mappinggothic.org/building/1
"Aubigny, Église S-Genest",,1100,1928,46.68299866,3.163000107,2,http://mappinggothic.org/building/2
"Autry-Issards, Église de la Trinité",Église de la Trinité,1100,1400,46.54919163,3.136282921,3,http://mappinggothic.org/building/3
"Bagneux, Église S-Paul",,1100,1800,46.6590004,3.203999996,4,http://mappinggothic.org/building/4
"Bellenaves, Église S-Martin",Église S-Martin,1100,1500,46.19963689,3.078397274,5,http://mappinggothic.org/building/5
"Besson, Église S-Martin",,1100,1800,46.46963373,3.26321578,6,http://mappinggothic.org/building/6
"Bourbon-l’Archambault, Église S-Georges",,1100,1800,46.58201917,3.058051348,7,http://mappinggothic.org/building/7
"Bayet, Église S-Marcel",,1100,1200,46.2474997,3.268993378,8,http://mappinggothic.org/building/8
"Bessay-sur-Allier, Église S-Martin",,1000,1200,46.44135489,3.364587307,9,http://mappinggothic.org/building/9
"Biozat, Église S-Symphorien",,1121,1900,46.07840217,3.270913839,10,http://mappinggothic.org/building/10
"Bransat, Église S-George",,1000,1200,46.32827322,3.230777025,11,http://mappinggothic.org/building/11
"Bresnay, Église S-Barthélemy",,900,1700,46.44190995,3.250015497,12,http://mappinggothic.org/building/12
"Broût-Vernet, Église S-Mazeran",,1000,1100,46.1869414,3.274066091,13,http://mappinggothic.org/building/13
"Buxières-les-Mines, Église S-Maurice",Église S-Maurice,1100,1300,46.46752361,2.962926626,14,http://mappinggothic.org/building/14
"Cérilly, Église S-Martin",,1100,1300,46.6189904,2.821440697,15,http://mappinggothic.org/building/15
"Cesset, Église S-Barthélemy",,1100,1800,46.29537201,3.215990067,16,http://mappinggothic.org/building/16
"Ainay-le-Château, Église S-Étienne",,0,0,46.71033859,2.690577507,17,http://mappinggothic.org/building/17
"Andelaroche, Église S-Pierre",,,,46.25498581,3.74874115,18,http://mappinggothic.org/building/18
"Archignat, Église S-Pardoux-de-Frontenat",,,,46.37256241,2.424631119,19,http://mappinggothic.org/building/19
"Bert, Église S-Laurent",,,,46.31600189,3.700000048,20,http://mappinggothic.org/building/20
"Billy, Église Saint-Cyret-Sainte-Juliette",,,,46.23669815,3.428649902,21,http://mappinggothic.org/building/21
"Bizeneuille, Église S-Martin",,,,46.40831757,2.737591267,22,http://mappinggothic.org/building/22
"Blomard, Église S-Maurice",,,,46.2888031,2.977423668,23,http://mappinggothic.org/building/23
"Braize, Église S-Antoine",,,,46.66650009,2.649640083,24,http://mappinggothic.org/building/24
"Brugheas, Église S-Martin",Église S-Martin,,,46.0776825,3.366193771,25,http://mappinggothic.org/building/25
"Chamblet, Église S-Maurice",,,,46.33359528,2.701950073,26,http://mappinggothic.org/building/26
"Chapeau, Église S-S-Barthélemy-et-Genés",,,,46.48921585,3.519787788,27,http://mappinggothic.org/building/27
"Chappes, Église Ste-Marie",Église Ste-Marie,,,46.38844494,2.92637229,28,http://mappinggothic.org/building/28
"Chareil-Cintrat, Église Saint-Blaise-de-Chareil",,,,46.26499939,3.224999905,29,http://mappinggothic.org/building/30
"Arronnes, Église S-Léger",Église S-Léger,,,46.06600189,3.565999985,30,http://mappinggothic.org/building/31
"Audes, Église S-Denis",Église S-Denis,,,,,31,http://mappinggothic.org/building/32
"Aurouer, Église S-Sulpice",,,,,,32,http://mappinggothic.org/building/33
"Avermes, Église S-Michel",Église S-Michel,,,,,33,http://mappinggothic.org/building/34
"Avermes, Église Notre-Dame-de-la-Salette",Église Notre-Dame-de-la-Salette,,,,,34,http://mappinggothic.org/building/35
"Avrilly, Église S-Honorat",,,,,,35,http://mappinggothic.org/building/36
"Barberier, Église S-André",,,,46.2159996,3.25,36,http://mappinggothic.org/building/37
"Barrais-Bussolles, Église S-Julien",Église S-Julien,,,,,37,http://mappinggothic.org/building/38
"Beaulon, Église S-Privat",,,,,,38,http://mappinggothic.org/building/39
"Beaune d’Allier, Église S-Aignan",,,,0,,39,http://mappinggothic.org/building/40
"Bégues, Église S-Aignan",Église S-Aignan,,,46.13299942,3.150000095,40,http://mappinggothic.org/building/41
"Bellerive-sur-Allier, Église S-Laurian",,,,,,41,http://mappinggothic.org/building/42
"Bézenet, Église Ste-Barbe",,,,,,42,http://mappinggothic.org/building/43
"Billezois, Église S-Roch",Église S-Roch,,,,,43,http://mappinggothic.org/building/44
"Boucé, Église Notre-Dame",,,,,,44,http://mappinggothic.org/building/45
"Le Bouchaud, Église Ste-Catherine",,,,,,45,http://mappinggothic.org/building/47
"Bressolles, Église Sacré-Coeur",Église Sacré-Coeur,,,,,46,http://mappinggothic.org/building/48
"Le Brethon, Église S-Pierre",,,,,,47,http://mappinggothic.org/building/49
"Le Breuil, Église Notre-Dame",,,,,,48,http://mappinggothic.org/building/50
"Busset, Église S-Vincent",,,,,,49,http://mappinggothic.org/building/51
"La Celle, Église S-Patrocle",,,,46.22800064,2.785000086,50,http://mappinggothic.org/building/52
"Chantelle, Église S-Nicolas",,,,46.23943318,3.153999329,51,http://mappinggothic.org/building/53
"Chantelle, Église S-Vincent",,,,,,52,http://mappinggothic.org/building/54
"La Chapelaude, Église S-Nicolas",,,,,,53,http://mappinggothic.org/building/55
